,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
44,long_spread,2020-03-03 12:00:00,2020-03-05 13:20:00,IGTA3,ITSA4,sell,buy,12.0,11.68,51.67,50.64,200.0,1000.0,-114.00000000000006,close,2,0,-1,0,1339,-27,35,22,178,,178
45,short_spread,2020-03-05 12:05:00,2020-03-09 16:25:00,B3SA3,SANB11,buy,sell,35.68,30.4,15.2,12.69,1000.0,400.0,-397.99999999999955,close,0,-4,-1,1,1339,-133,30,150,208,,208
46,long_spread,2020-03-04 12:15:00,2020-03-06 13:20:00,ITUB4,BBAS3,sell,buy,43.46,39.94,30.62,28.98,1000.0,700.0,-824.0000000000018,close,5,-1,0,0,983,-261,28,25,149,,149
47,short_spread,2020-03-05 16:40:00,2020-03-10 16:45:00,BPAC11,BBDC3,buy,sell,21.08,18.49,15.26,12.6,1000.0,700.0,-847.0,close,1,-3,-1,1,825,-16,35,148,207,,207
48,short_spread,2020-03-04 11:25:00,2020-03-05 12:25:00,B3SA3,SANB11,buy,sell,35.92,35.74,15.53,15.07,1000.0,400.0,-387.9999999999992,close,0,-5,0,1,1417,-163,42,14,86,,86
49,long_spread,2020-03-05 12:45:00,2020-03-06 12:25:00,ITUB4,BBAS3,sell,buy,42.37,39.57,30.01,29.22,1000.0,700.0,-1169.9999999999952,close,5,-2,0,0,1199,-255,36,13,76,,76
50,short_spread,2020-03-06 14:35:00,2020-03-11 16:25:00,MULT3,SULA11,buy,sell,42.19,34.29,28.52,24.57,1000.0,700.0,1580.0,close,0,-5,-1,1,1208,-90,33,134,176,10,176
51,short_spread,2020-03-06 15:55:00,2020-03-11 16:25:00,B3SA3,BBDC3,buy,sell,20.44,16.78,14.26,12.53,1000.0,700.0,831.9999999999995,close,0,-4,0,1,1660,-171,41,150,121,10,121
52,short_spread,2020-03-06 13:10:00,2020-03-11 11:55:00,ITUB4,BBSE3,buy,sell,28.24,26.19,29.06,26.52,1000.0,1000.0,-490.0000000000018,close,1,-1,-1,1,2806,-14,25,33,216,,216
53,short_spread,2020-03-06 11:40:00,2020-03-11 13:30:00,BBAS3,BBDC4,buy,sell,22.93,20.36,40.04,35.3,600.0,1000.0,-274.0000000000009,close,1,-3,-1,1,1822,-214,40,16,250,,250
54,short_spread,2020-03-10 15:00:00,2020-03-12 16:25:00,IGTA3,ITSA4,buy,sell,10.48,8.86,41.99,34.18,200.0,1000.0,58.000000000000455,close,2,-5,-1,1,1395,-41,26,102,178,10,178
55,short_spread,2020-03-06 16:35:00,2020-03-12 16:25:00,MULT3,SULA11,buy,sell,42.64,30.96,28.78,22.41,1000.0,700.0,1805.999999999999,close,0,-4,-1,1,1670,-95,25,43,240,10,240
56,short_spread,2020-03-09 14:20:00,2020-03-11 13:15:00,BBAS3,BBDC3,buy,sell,18.58,17.89,36.12,36.0,500.0,1000.0,629.999999999999,close,2,-5,-1,1,2304,-4,34,21,146,10,146
57,short_spread,2020-03-10 13:10:00,2020-03-12 14:55:00,MULT3,SULA11,buy,sell,38.33,30.32,26.67,23.47,1000.0,700.0,2406.9999999999955,close,1,-5,0,1,939,-246,35,30,133,10,133
58,short_spread,2020-03-11 10:30:00,2020-03-13 16:35:00,IGTA3,ITSA4,buy,sell,10.62,9.73,42.56,36.58,200.0,1000.0,-306.00000000000216,close,2,-3,-1,0,2348,-272,30,132,122,,122
59,short_spread,2020-03-10 15:10:00,2020-03-16 15:55:00,ITSA4,IGTA3,buy,sell,41.89,30.65,10.57,9.0,1000.0,300.0,1802.0000000000002,close,5,-2,0,1,2899,-275,38,60,246,10,246
60,short_spread,2020-03-10 12:10:00,2020-03-13 12:15:00,MULT3,SULA11,buy,sell,38.57,30.58,26.97,21.91,1000.0,700.0,533.0000000000027,close,2,-5,0,1,2881,-16,30,18,164,10,164
61,long_spread,2020-03-17 10:30:00,2020-03-17 16:05:00,BBAS3,BBDC4,sell,buy,17.56,18.73,29.72,30.63,600.0,1000.0,624.0000000000017,close,4,0,0,0,1028,-289,26,73,63,10,63
62,short_spread,2020-03-16 15:10:00,2020-03-18 13:05:00,B3SA3,CIEL3,buy,sell,5.09,4.94,10.8,10.1,500.0,1000.0,-200.00000000000105,close,3,-5,-1,1,2583,-112,38,22,126,,126
63,long_spread,2020-03-16 15:55:00,2020-03-18 16:10:00,MULT3,BBDC3,sell,buy,15.54,14.45,19.13,17.23,800.0,1000.0,429.9999999999991,close,3,-1,0,0,952,-58,48,52,155,10,155
64,short_spread,2020-03-16 11:15:00,2020-03-19 16:30:00,ITSA4,IGTA3,buy,sell,30.47,29.92,9.0,8.63,1000.0,300.0,-205.00000000000006,close,0,-1,-1,0,2930,-136,29,91,65,,65
